Recipe_ID,Dish Name,Original Ingredient,Category,Quantity,Unit (Original),Standardised Ingredient,Unit (Standardised)
2,Aaloo Mattar,"3 clove, Garlic",Fresh Aromatics,3,clove,Garlic,clove
2,Aaloo Mattar,"0.75 tsp(s), Salt",Salt/Seasonings,0.75,tsp,Salt,tsp
3,Cocktail: Negroni Sbagliato,"25 ml, Martini Rosso",Alcohol/Cocktail,25,ml,Sweet Vermouth,ml
3,Cocktail: Negroni Sbagliato,"100 мл, Prosecco Doc",Alcohol/Cocktail,100,мл,Prosecco,ml
3,Cocktail: Negroni Sbagliato,"0.85 oz, Campari",Alcohol/Cocktail,25.13, oz,Campari,ml
4,Sabzi - Karela,"400 g, Karela",Vegetables,400,g,Karela,g
4,Sabzi - Karela,"200 g, Large Onions",Vegetables,200,g,Large Onions,g
4,Sabzi - Karela,"1 tsp, Salt",Salt/Seasonings,1,tsp,Salt,tsp
4,Sabzi - Karela,"1 tsp(s), Garam Masala Spice - Powder",Spices (Powder),1,tsp,Garam Masala Spice - Powder,tsp
4,Sabzi - Karela,"5 grams, Turmeric Powder",Spices (Powder),5,grams,Turmeric Powder,g
4,Sabzi - Karela,"2 gram, Kashmiri Chilly Powder",Spices (Powder),2,gram,Kashmiri Chilly Powder,g
4,Sabzi - Karela,"1 tbsp, Oil, mustard",Oils/Fats,1,tbsp,"Oil, Mustard",tbsp
4,Sabzi - Karela,"1 tsp. (10 g), Amchur Powder - Dry Mango Powder",Spices (Powder),1,tsp ( g),Amchur Powder - Dry Mango Powder,tsp ( g)
4,Sabzi - Karela,"4 clove, Garlic",Fresh Aromatics,4,clove,Garlic,clove
5,Arbi Sabzi,"1.25 tsp, Salt",Salt/Seasonings,1.25,tsp,Salt,tsp
5,Arbi Sabzi,"220 g, Onion",Vegetables,220,g,Onion,g
5,Arbi Sabzi,"1 Tsp (8 grams), Whole Cumin Seeds",Spices (Whole/Seeds),1,Tsp ( grams),Whole Cumin Seeds,tsp ( g)
5,Arbi Sabzi,"900 gm, Arbi",Vegetables,900,gm,Arbi,g
5,Arbi Sabzi,"3 tsp, Oil, mustard",Oils/Fats,3,tsp,"Oil, Mustard",tsp
5,Arbi Sabzi,"0.50 tsp., Chilli Powder (Spice)",Spices (Powder),0.5,tsp,Chilli Powder (Spice),tsp
5,Arbi Sabzi,"5 g, Coriander Cumin Powder",Spices (Powder),5,g,Coriander Cumin Powder,g
5,Arbi Sabzi,"200 g, Tomatoes",Vegetables,200,g,Tomatoes,g
5,Arbi Sabzi,"5 g, Green Chillies",Vegetables,5,g,Green Chillies,g
6,Cocktail: Spritz Al Bitter (Spritz Veneziano),"60 ml, Brut Cava",Alcohol/Cocktail,60,ml,Brut Cava,ml
6,Cocktail: Spritz Al Bitter (Spritz Veneziano),"1.20 ounces, Club soda",Liquids,35.48, ounces,Club Soda,ml
6,Cocktail: Spritz Al Bitter (Spritz Veneziano),"40 ml, Apéritif",Alcohol/Cocktail,40,ml,Apéritif,ml
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"45 g, Ginger root - Raw",Fresh Aromatics,45,g,Fresh Ginger,g
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"1 sprig, curry leaves",Fresh Aromatics,1,sprig,Curry Leaves,sprig
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"5 gram, كزبرة Coriander",Spices (Powder),5,gram,كزبرة Coriander,g
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"1.50 tbsp, Olive Oil",Oils/Fats,1.5,tbsp,Olive Oil,tbsp
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"2 lime yields, Lime juice - Raw",Citrus/Acid,2,lime yields,Lime Juice,lime yields
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"1 tsp, Coriander - Ground",Spices (Powder),1,tsp,Ground Coriander,tsp
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"2 tsp(s), Tomato Paste",Salt/Seasonings,2,tsp,Tomato Paste,tsp
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"100 g, Red Lentils (Dried)",Legumes/Dals,100,g,Red Lentils,g
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"45 g, Hot Mango Pickle",Salt/Seasonings,45,g,Hot Mango Pickle,g
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"400 ml, Unsweetened Coconut Milk",Nuts/Coconut,400,ml,Unsweetened Coconut Milk,ml
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"7.50 tbsp chopped, Shallots, raw",Fresh Aromatics,7.5,tbsp chopped,Shallots,tbsp chopped
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"2 tsp(s), Spices, curry powder",Spices (Powder),2,tsp,Curry Powder,tsp
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"1 tsp, Black Mustard Seeds",Spices (Whole/Seeds),1,tsp,Black Mustard Seeds,tsp
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"100 grams, Baby Spinach",Vegetables,100,grams,Baby Spinach,g
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"225 gram, Paneer",Dairy,225,gram,Paneer,g
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"0.50 tsp(s), Spices, turmeric, ground",Spices (Powder),0.5,tsp,Ground Turmeric,tsp
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"1 tsp, Ground Cumin",Spices (Powder),1,tsp,Ground Cumin,tsp
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"1 tsp, Salt",Salt/Seasonings,1,tsp,Salt,tsp
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"750 g, Eggplant - Aubergine",Vegetables,750,g,Aubergine,g
7,Ottolenghi Stuffed Aubergines in Curry & Coconut Dal from FLAVOUR,"5 g, Red Chillies",Vegetables,5,g,Red Chillies,g
8,Brinjal Sambar,"1 sprig, curry leaves",Fresh Aromatics,1,sprig,Curry Leaves,sprig
8,Brinjal Sambar,"5 gram, Madras Sambar Powder",Spices (Powder),5,gram,Madras Sambar Powder,g
8,Brinjal Sambar,"2.50 cup (8 fl oz), Water",Liquids,2.5,cup ( fl oz),Water,cup
8,Brinjal Sambar,"1 tbsp(s), 100% Rapeseed Oil",Oils/Fats,1,tbsp,Rapeseed Oil,tbsp
8,Brinjal Sambar,"0.50 tsp(s), Red",Vegetables,0.5,tsp,Red,tsp
8,Brinjal Sambar,"1 g, Whole Dried Chilies (Medium Spicy)",Spices (Whole/Seeds),1,g,Whole Dried Chilies (Medium Spicy),g
8,Brinjal Sambar,"222 gram, Toor Dal",Legumes/Dals,222,gram,Toor Dal,g
8,Brinjal Sambar,"350 g, Baby Aubergines",Vegetables,350,g,Baby Aubergines,g
8,Brinjal Sambar,"2 tsp, Wet Seedless Tamarind",Spices (Whole/Seeds),2,tsp,Wet Seedless Tamarind,tsp
8,Brinjal Sambar,"0.06 tsp, Asafoetida Powder - (Hing Spice)",Spices (Powder),0.06,tsp,Asafoetida Powder (Hing),tsp
8,Brinjal Sambar,"100 g, Onion",Vegetables,100,g,Onion,g
8,Brinjal Sambar,"0.75 tsp, Black Mustard Seeds",Spices (Whole/Seeds),0.75,tsp,Black Mustard Seeds,tsp
8,Brinjal Sambar,"5 gm, Bengal Gram (Dal) Raw",Legumes/Dals,5,gm,Bengal Gram (Dal),g
8,Brinjal Sambar,"1 tsp, Salt",Salt/Seasonings,1,tsp,Salt,tsp
8,Brinjal Sambar,"2.50 grams, Turmeric Powder",Spices (Powder),2.5,grams,Turmeric Powder,g
8,Brinjal Sambar,"90 g, Tomatoes",Vegetables,90,g,Tomatoes,g
9,Dal - Chana,"1 tsp, Coriander, Ground",Spices (Powder),1,tsp,"Coriander, Ground",tsp
9,Dal - Chana,"3 clove, Garlic",Fresh Aromatics,3,clove,Garlic,clove
9,Dal - Chana,"2 gram, hing",Spices (Powder),2,gram,Hing,g
9,Dal - Chana,"130 g ""uncooked"", Chana Dal",Legumes/Dals,130,"g ""uncooked""",Chana Dal,"g ""uncooked"""
9,Dal - Chana,"2 g, Medium Green Chillies",Vegetables,2,g,Medium Green Chillies,g
9,Dal - Chana,"1 tsp, Oil, mustard",Oils/Fats,1,tsp,"Oil, Mustard",tsp
9,Dal - Chana,"0.50 tsp, whole, Spices, cumin seed",Spices (Whole/Seeds),0.5,tsp,Cumin Seed,tsp
9,Dal - Chana,"70 g, Red Onions",Vegetables,70,g,Red Onions,g
9,Dal - Chana,"0.50 tsp(s), Spices, turmeric, ground",Spices (Powder),0.5,tsp,Ground Turmeric,tsp
9,Dal - Chana,"0.50 tsp, Salt",Salt/Seasonings,0.5,tsp,Salt,tsp
10,Aloo Gajar,"1.50 tsp, Rapeseed Oil (1 Tsp)",Oils/Fats,1.5,tsp,Rapeseed Oil (1 Tsp),tsp
10,Aloo Gajar,"0.25 tsp(s), Red Chilli Powder",Spices (Powder),0.25,tsp,Red Chilli Powder,tsp
10,Aloo Gajar,"1 medium, Potato",Vegetables,1,medium,Potato,medium
10,Aloo Gajar,"2 whole, Tomato, 1 Medium",Spices (Whole/Seeds),2,whole,"Tomato, 1 Medium",whole
10,Aloo Gajar,"2.50 grams, Turmeric Powder",Spices (Powder),2.5,grams,Turmeric Powder,g
10,Aloo Gajar,"500 grams, Carrot",Vegetables,500,grams,Carrot,g
10,Aloo Gajar,"5 g, Fresh Green Chilli",Vegetables,5,g,Fresh Green Chilli,g
10,Aloo Gajar,"0.33 g, Coriander Cumin Powder",Spices (Powder),0.33,g,Coriander Cumin Powder,g
10,Aloo Gajar,"42 g, White Onion, 1 Small",Vegetables,42,g,"White Onion, 1 Small",g
10,Aloo Gajar,"1 g, Salt",Salt/Seasonings,1,g,Salt,g
11,south indian mushroom peas curry,"100 grams, Onion",Vegetables,100,grams,Onion,g
11,south indian mushroom peas curry,"2.50 grams, Turmeric Powder",Spices (Powder),2.5,grams,Turmeric Powder,g
11,south indian mushroom peas curry,"5 g, Urad Dal",Legumes/Dals,5,g,Urad Dal,g
11,south indian mushroom peas curry,"2.50 g, Garam Masala Powder",Spices (Powder),2.5,g,Garam Masala Powder,g
11,south indian mushroom peas curry,"3 tsp(s), 100% Rapeseed Oil",Oils/Fats,3,tsp,Rapeseed Oil,tsp
11,south indian mushroom peas curry,"600 grams, Closed Cup Mushrooms",Vegetables,600,grams,Closed Cup Mushrooms,g
11,south indian mushroom peas curry,"50 gram, Shredded&nbsp;Coconut",Nuts/Coconut,50,gram,Shredded Coconut,g
11,south indian mushroom peas curry,"2 gram, Red Chilli Powder",Spices (Powder),2,gram,Red Chilli Powder,g
11,south indian mushroom peas curry,"8 pieces, Cashews",Nuts/Coconut,8,pieces,Cashews,pieces
11,south indian mushroom peas curry,"2.50 gram, indian mustard seeds",Spices (Whole/Seeds),2.5,gram,Indian Mustard Seeds,g
11,south indian mushroom peas curry,"143 g, Garden Peas (Frozen Weight)",Vegetables,143,g,Garden Peas,g
11,south indian mushroom peas curry,"0.50 inch (11g), Ginger - Fresh, Raw (1 Inch/11g)",Fresh Aromatics,0.5,inch (g),Fresh Ginger,inch (g)
11,south indian mushroom peas curry,"0.25 tsp, Fenugreek Seeds",Spices (Whole/Seeds),0.25,tsp,Fenugreek Seeds,tsp
11,south indian mushroom peas curry,"5 gram, Coriander Powder",Spices (Powder),5,gram,Coriander Powder,g
11,south indian mushroom peas curry,"1 sprig, curry leaves",Fresh Aromatics,1,sprig,Curry Leaves,sprig
11,south indian mushroom peas curry,"160 g, Tomatoes",Vegetables,160,g,Tomatoes,g
11,south indian mushroom peas curry,"3 clove, Garlic",Fresh Aromatics,3,clove,Garlic,clove
11,south indian mushroom peas curry,"1 tsp, Cumin Seeds",Spices (Whole/Seeds),1,tsp,Cumin Seeds,tsp
11,south indian mushroom peas curry,"1 tsp, Salt",Salt/Seasonings,1,tsp,Salt,tsp
12,Cocktail: Jaeger Old Fashioned,"0.85 fluid ounce, 35 % Jägermeister",Alcohol/Cocktail,25.13, fluid ounce,35 % Jägermeister,ml
12,Cocktail: Jaeger Old Fashioned,"0.85 oz., Kentucky Straight Rye Whiskey",Alcohol/Cocktail,25.13, oz,Kentucky Straight Rye Whiskey,ml
12,Cocktail: Jaeger Old Fashioned,"1 tsp(s), Maple Syrup",Salt/Seasonings,1,tsp,Maple Syrup,tsp
12,Cocktail: Jaeger Old Fashioned,"0.50 tsp, Orange peel, raw",Citrus/Acid,0.5,tsp,Orange Peel,tsp
12,Cocktail: Jaeger Old Fashioned,"0.25 tsp, orange bitters",Alcohol/Cocktail,0.25,tsp,Orange Bitters,tsp
13,Cocktail: Hunter's Verdict,"50.10 ml, Rum",Alcohol/Cocktail,50.1,ml,Dark Rum,ml
13,Cocktail: Hunter's Verdict,"20 ml, Montenegro (Generic)",Alcohol/Cocktail,20,ml,Montenegro (Generic),ml
13,Cocktail: Hunter's Verdict,"5 ml, Gingerbread Syrup",Fresh Aromatics,5,ml,Gingerbread Syrup,ml
13,Cocktail: Hunter's Verdict,"0.12 tsp, Aromatic Bitters",Alcohol/Cocktail,0.12,tsp,Aromatic Bitters,tsp
13,Cocktail: Hunter's Verdict,"0.12 tsp, Aromatic Bitters",Alcohol/Cocktail,0.12,tsp,Aromatic Bitters,tsp
14,Dal - Maash Chole,"30 gram, Urad dal chilka",Legumes/Dals,30,gram,Urad Dal Chilka,g
14,Dal - Maash Chole,"0.50 tsp(s), Garam Masala",Spices (Powder),0.5,tsp,Garam Masala,tsp
14,Dal - Maash Chole,"3 clove, Garlic",Fresh Aromatics,3,clove,Garlic,clove
14,Dal - Maash Chole,"2.50 gram, Coriander Powder",Spices (Powder),2.5,gram,Coriander Powder,g
14,Dal - Maash Chole,"15 g, Ginger Root Raw",Fresh Aromatics,15,g,Fresh Ginger,g
14,Dal - Maash Chole,"0.14 kg, Tomatoes",Vegetables,0.14,kg,Tomatoes,kg
14,Dal - Maash Chole,"30 g, Chana Dall",Legumes/Dals,30,g,Chana Dall,g
14,Dal - Maash Chole,"2.50 grams, Turmeric Powder",Spices (Powder),2.5,grams,Turmeric Powder,g
14,Dal - Maash Chole,"2 tsp(s), Butter",Oils/Fats,2,tsp,Butter,tsp
14,Dal - Maash Chole,"0.50 tsp, Salt",Salt/Seasonings,0.5,tsp,Salt,tsp
14,Dal - Maash Chole,"5 g, Green Chillies",Vegetables,5,g,Green Chillies,g
15,Cocktail: The Right Hand,"0.25 tsp (2.5ml), Aromatic Bitters",Alcohol/Cocktail,0.25,tsp (ml),Aromatic Bitters,tsp (ml)
15,Cocktail: The Right Hand,"0.67 oz, Rosso (Sweet Vermouth)",Alcohol/Cocktail,19.81, oz,Sweet Vermouth,ml
15,Cocktail: The Right Hand,"40 milliliter, Rum",Alcohol/Cocktail,40,milliliter,Dark Rum,ml
15,Cocktail: The Right Hand,"0.67 oz, Campari",Alcohol/Cocktail,19.81, oz,Campari,ml
16,Sarson ka Saag,"7 clove, Garlic",Fresh Aromatics,7,clove,Garlic,clove
16,Sarson ka Saag,"50 grams, Daikon Root",Vegetables,50,grams,Daikon Root,g
16,Sarson ka Saag,"4 tsp, Ginger",Fresh Aromatics,4,tsp,Fresh Ginger,tsp
16,Sarson ka Saag,"0.50 tsp(s), Red",Vegetables,0.5,tsp,Red,tsp
16,Sarson ka Saag,"3 tsp(s), 100% Rapeseed Oil",Oils/Fats,3,tsp,Rapeseed Oil,tsp
16,Sarson ka Saag,"2.50 cup (8 fl oz), Water",Liquids,2.5,cup ( fl oz),Water,cup
16,Sarson ka Saag,"0.30 kg, Tomatoes",Vegetables,0.3,kg,Tomatoes,kg
16,Sarson ka Saag,"0.12 tsp, Asafoetida Powder - (Hing Spice)",Spices (Powder),0.12,tsp,Asafoetida Powder (Hing),tsp
16,Sarson ka Saag,"15 g, Green Chillies",Vegetables,15,g,Green Chillies,g
16,Sarson ka Saag,"0.22 kg(s), Spinach Leaves",Vegetables,0.22,kg,Spinach Leaves,kg
16,Sarson ka Saag,"200 grams, Onion",Vegetables,200,grams,Onion,g
16,Sarson ka Saag,"1 tsp, Salt",Salt/Seasonings,1,tsp,Salt,tsp
16,Sarson ka Saag,"240 gms, Mustard Leaves Raw",Vegetables,240,gms,Mustard Leaves,g
16,Sarson ka Saag,"20 gm, Corn&nbsp;flour",Grains/Flour,20,gm,Corn Flour,g
17,Cocktail: Cynar Rum Negroni,"0.25 tsp, Aromatic Bitters",Alcohol/Cocktail,0.25,tsp,Aromatic Bitters,tsp
17,Cocktail: Cynar Rum Negroni,"0.85 oz, Rosso (Sweet Vermouth)",Alcohol/Cocktail,25.13, oz,Sweet Vermouth,ml
17,Cocktail: Cynar Rum Negroni,"0.85 ounce, Cynar",Alcohol/Cocktail,25.13, ounce,Cynar,ml
17,Cocktail: Cynar Rum Negroni,"0.25 tsp, orange bitters",Alcohol/Cocktail,0.25,tsp,Orange Bitters,tsp
17,Cocktail: Cynar Rum Negroni,"25 milliliter, Rum",Alcohol/Cocktail,25,milliliter,Dark Rum,ml
18,Shlalgam Bharta,"3 tsp(s), 100% Rapeseed Oil",Oils/Fats,3,tsp,Rapeseed Oil,tsp
18,Shlalgam Bharta,"0.50 tsp, Lime Juice",Citrus/Acid,0.5,tsp,Lime Juice,tsp
18,Shlalgam Bharta,"0.50 tsp(s), Red Chilli Powder",Spices (Powder),0.5,tsp,Red Chilli Powder,tsp
18,Shlalgam Bharta,"0.30 kg, Tomatoes",Vegetables,0.3,kg,Tomatoes,kg
18,Shlalgam Bharta,"1 Tsp (8 grams), Whole Cumin Seeds",Spices (Whole/Seeds),1,Tsp ( grams),Whole Cumin Seeds,tsp ( g)
18,Shlalgam Bharta,"0.50 tsp(s), Garam Masala",Spices (Powder),0.5,tsp,Garam Masala,tsp
18,Shlalgam Bharta,"15 g, Ginger Root Raw",Fresh Aromatics,15,g,Fresh Ginger,g
18,Shlalgam Bharta,"2.50 gram, Coriander Powder",Spices (Powder),2.5,gram,Coriander Powder,g
18,Shlalgam Bharta,"96 g, Garden Peas",Vegetables,96,g,Garden Peas,g
18,Shlalgam Bharta,"0.06 tsp, Asafoetida Powder - (Hing Spice)",Spices (Powder),0.06,tsp,Asafoetida Powder (Hing),tsp
18,Shlalgam Bharta,"1200 g, Turnips, raw",Vegetables,1200,g,Turnips,g
18,Shlalgam Bharta,"2 tsp, Salt",Salt/Seasonings,2,tsp,Salt,tsp
18,Shlalgam Bharta,"200 g, Red Onions",Vegetables,200,g,Red Onions,g
19,Cocktail: Rum-Pyaari,"10 milliliter, Pure Sugar Cane Syrup",Salt/Seasonings,10,milliliter,Pure Sugar Cane Syrup,ml
19,Cocktail: Rum-Pyaari,"100 ml, Espresso",Liquids,100,ml,Espresso,ml
19,Cocktail: Rum-Pyaari,"1 ounce, Lime Juice",Citrus/Acid,29.57,ounce,Lime Juice,ml
19,Cocktail: Rum-Pyaari,"0.12 tsp (2.5 ml), Aromatic Bitters",Alcohol/Cocktail,0.12,tsp ( ml),Aromatic Bitters,tsp ( ml)
19,Cocktail: Rum-Pyaari,"93.75 mL bottle, Ginger Beer",Fresh Aromatics,93.75,mL bottle,Ginger Beer,ml bottle
19,Cocktail: Rum-Pyaari,"99 ml, Rum",Alcohol/Cocktail,99,ml,Dark Rum,ml
20,Cocktail: Bitter Jean,"45 ml, Distillery Reserve Single Malt Irish Whiskey 12 years",Alcohol/Cocktail,45,ml,Irish Whiskey,ml
20,Cocktail: Bitter Jean,"7.50 ml, Whisky",Alcohol/Cocktail,7.5,ml,Whisky,ml
20,Cocktail: Bitter Jean,"2 cherry, Maraschino Cherries",Fruits,2,cherry,Maraschino Cherries,fruit
20,Cocktail: Bitter Jean,"12.50 ml, Creme De Cassis",Alcohol/Cocktail,12.5,ml,Creme De Cassis,ml
20,Cocktail: Bitter Jean,"0.25 tsp, Aromatic Bitters",Alcohol/Cocktail,0.25,tsp,Aromatic Bitters,tsp
20,Cocktail: Bitter Jean,"0.60 oz, Sweet Vermouth",Alcohol/Cocktail,17.74, oz,Sweet Vermouth,ml
21,Cocktail: Fogerty,"1.69 oz., Kentucky Straight Rye Whiskey",Alcohol/Cocktail,49.97, oz,Kentucky Straight Rye Whiskey,ml
21,Cocktail: Fogerty,"7.50 ml, Creme De Cassis",Alcohol/Cocktail,7.5,ml,Creme De Cassis,ml
21,Cocktail: Fogerty,"0.25 tsp, orange bitters",Alcohol/Cocktail,0.25,tsp,Orange Bitters,tsp
21,Cocktail: Fogerty,"0.40 oz, Campari",Alcohol/Cocktail,11.83, oz,Campari,ml
22,Kolamba's polos (young jackfruit curry),"1 lime yields, Lime juice - Raw",Citrus/Acid,1,lime yields,Lime Juice,lime yields
22,Kolamba's polos (young jackfruit curry),"0.50 tbsp/9g, Mild Curry Powder",Spices (Powder),0.5,tbsp/g,Mild Curry Powder,tbsp/g
22,Kolamba's polos (young jackfruit curry),"4 clove, Garlic",Fresh Aromatics,4,clove,Garlic,clove
22,Kolamba's polos (young jackfruit curry),"8 cm, Cinnamon Stick (Tree Bark)",Spices (Whole/Seeds),8,cm,Cinnamon Stick (Tree Bark),cm
22,Kolamba's polos (young jackfruit curry),"5 g, Curry Leaves Green",Fresh Aromatics,5,g,Curry Leaves Green,g
22,Kolamba's polos (young jackfruit curry),"0.00 container (100.00 gram), Crispy Onions",Vegetables,0, container ( gram),Crispy Onions, container ( g)
22,Kolamba's polos (young jackfruit curry),"0.50 tsp, Fenugreek Seeds",Spices (Whole/Seeds),0.5,tsp,Fenugreek Seeds,tsp
22,Kolamba's polos (young jackfruit curry),"200 g, Potato",Vegetables,200,g,Potato,g
22,Kolamba's polos (young jackfruit curry),"1 tsp, Ground Cumin",Spices (Powder),1,tsp,Ground Cumin,tsp
22,Kolamba's polos (young jackfruit curry),"3 g, Chilli Powder - Hot",Spices (Powder),3,g,Chilli Powder - Hot,g
22,Kolamba's polos (young jackfruit curry),"2 cup (140g/4.9 oz drained), Green Jackfruit",Vegetables,2,cup (g/ oz drained),Green Jackfruit,cup (g/ oz drained)
22,Kolamba's polos (young jackfruit curry),"5 g, Finger Chillies",Vegetables,5,g,Finger Chillies,g
22,Kolamba's polos (young jackfruit curry),"1 T slivers, Kaffir Lime Leaf",Citrus/Acid,1,T slivers,Kaffir Lime Leaf,t slivers
22,Kolamba's polos (young jackfruit curry),"3 tsp(s), 100% Rapeseed Oil",Oils/Fats,3,tsp,Rapeseed Oil,tsp
22,Kolamba's polos (young jackfruit curry),"1 tsp, Sugar",Salt/Seasonings,1,tsp,Sugar,tsp
22,Kolamba's polos (young jackfruit curry),"1 tsp, Salt",Salt/Seasonings,1,tsp,Salt,tsp
22,Kolamba's polos (young jackfruit curry),"1 tsp, Coriander, Ground",Spices (Powder),1,tsp,"Coriander, Ground",tsp
22,Kolamba's polos (young jackfruit curry),"200 grams, Onion",Vegetables,200,grams,Onion,g
22,Kolamba's polos (young jackfruit curry),"200 g, Tomatoes",Vegetables,200,g,Tomatoes,g
22,Kolamba's polos (young jackfruit curry),"1 tsp(s), Spices, turmeric, ground",Spices (Powder),1,tsp,Ground Turmeric,tsp
22,Kolamba's polos (young jackfruit curry),"0.50 tsp, Black Mustard Seeds",Spices (Whole/Seeds),0.5,tsp,Black Mustard Seeds,tsp
22,Kolamba's polos (young jackfruit curry),"165 g, Coconut Milk",Nuts/Coconut,165,g,Coconut Milk,g
23,Onion Pakora,"80 gram, Chickpea flour",Legumes/Dals,80,gram,Chickpea Flour,g
23,Onion Pakora,"0.40 teaspoon, ajwain( carom) seeds",Spices (Whole/Seeds),0.4,teaspoon,Ajwain( Carom) Seeds,tsp
23,Onion Pakora,"2 tbsp (15ml), Vegetable Oil (100% Rapeseed Oil) With Omega 3",Oils/Fats,2,tbsp (ml),Rapeseed Oil,tbsp (ml)
23,Onion Pakora,"1.25 g, Garam Masala Powder",Spices (Powder),1.25,g,Garam Masala Powder,g
23,Onion Pakora,"125 g, Large Onions",Vegetables,125,g,Large Onions,g
23,Onion Pakora,"0.40 tsp(s), Red Chilli Powder",Spices (Powder),0.4,tsp,Red Chilli Powder,tsp
23,Onion Pakora,"0.25 cup (8 fl oz), Water",Liquids,0.25,cup ( fl oz),Water,cup
23,Onion Pakora,"0.56 teaspoon, Salt",Salt/Seasonings,0.56,teaspoon,Salt,tsp
24,Potato Masala (for Dosa),"0.12 tsp, Asafoetida Powder - (Hing Spice)",Spices (Powder),0.12,tsp,Asafoetida Powder (Hing),tsp
24,Potato Masala (for Dosa),"10 g, Chana Dal Dry",Legumes/Dals,10,g,Chana Dal Dry,g
24,Potato Masala (for Dosa),"1 g, Curry Leaves Green",Fresh Aromatics,1,g,Curry Leaves Green,g
